"","BO21_chlomean_ss","BO21_chlorange_ss","BO21_curvelmean_ss","BO21_curvelrange_ss","BO21_curvelmean_bdmin","BO21_curvelrange_bdmin","BO21_salinitymean_ss","BO21_salinityrange_ss","BO21_salinitymean_bdmin","BO21_salinityrange_bdmin","BO21_tempmean_ss","BO21_temprange_ss","BO21_tempmean_bdmin","BO21_temprange_bdmin"
"1",0.202077,0.245978,0.193146884441376,0.308355450630188,0.192843526601791,0.280691534280777,31.4472,2.69265,32.147144,1.752319,29.10471,4.12089,29.242724,4.09479
"2",0.243468,0.397015,0.0842565298080444,0.114030607044697,0.0709097012877464,0.0894935727119446,22.716748,9.143525,29.306757,10.166489,29.207947,5.495518,29.345447,5.536441
"3",0.312342,0.428218,0.173162743449211,0.202548459172249,0.173162743449211,0.202548444271088,30.941873,3.341746,33.25573,1.057735,28.960203,4.005068,28.983577,4.225637
"4",0.333278,0.955692,0.100744590163231,0.142650291323662,0.100744590163231,0.142650291323662,32.073315,4.535244,33.265198,2.125042,29.024103,2.728531,29.019622,2.93779
"5",0.244089,0.373366,0.111676409840584,0.174616321921349,0.111676402390003,0.174616321921349,31.798684,3.712106,33.00428,1.958393,29.064064,2.691221,29.063458,2.468675
"6",0.488881,0.584125,0.383085966110229,0.571866810321808,0.392691999673843,0.594468593597412,31.11162,3.00226,31.522299,2.072432,29.127747,4.049799,29.332498,3.915649
"7",1.207369,2.42,0.512157320976257,0.83015650510788,0.519979417324066,0.804071605205536,31.231522,4.313377,32.284653,2.218321,29.093754,2.383022,29.237953,2.378047
"8",0.386971,0.451604,0.0668574050068855,0.101718008518219,0.0668574050068855,0.1017180159688,27.921131,8.052795,32.481625,0.841915,29.272879,3.012266,29.533719,3.507705
"9",0.136735,0.183405,0.11168921738863,0.174582347273827,0.105747781693935,0.166039854288101,32.025766,3.35412,32.495171,1.870209,29.427404,3.621962,29.456289,3.868122
"10",0.296733,0.449706,0.126026794314384,0.188109800219536,0.126026794314384,0.188109800219536,29.727675,2.967815,30.317047,2.862539,29.269409,3.14447,29.516849,3.572965
"11",0.187613,0.333347,0.201819077134132,0.308139562606812,0.201090410351753,0.312290102243423,32.197817,3.641641,33.19997,2.275984,29.09127,2.525951,29.00614,3.177909
"12",0.108066,0.325982,0.116312779486179,0.143640145659447,0.116580806672573,0.143227323889732,30.963405,5.050811,31.195343,5.899229,28.827152,4.23,28.862125,4.48405
"13",0.235259,1.164724,0.310453623533249,0.534265577793121,0.313345223665237,0.544141888618469,30.460923,14.290947,30.202646,7.273262,28.091928,6.15447,28.232198,5.869303
"14",0.115366,0.181493,0.0902434289455414,0.126623004674911,0.0902434289455414,0.126623004674911,32.00523,3.553493,32.685265,1.826376,29.350557,3.481182,29.284599,3.711481
"15",0.266226,0.415195,0.0857771784067154,0.135858729481697,0.0857771784067154,0.135858729481697,30.498283,4.79583,31.735037,1.720007,29.771677,2.306454,29.872458,2.461418
"16",0.279573,0.458721,0.093110665678978,0.149148881435394,0.097107321023941,0.157387435436249,31.492168,3.725911,31.727104,1.807489,29.870047,2.945473,29.906363,2.880119
"17",0.17116,0.187839,0.112607754766941,0.205539882183075,0.129669144749641,0.243041098117828,31.398363,2.821837,31.487274,2.130396,29.213289,3.992367,29.360757,3.986164
"18",1.147473,1.995547,0.249137222766876,0.335269093513489,0.248005092144012,0.3333380818367,28.439657,16.638105,33.019638,2.306389,28.171612,5.708096,28.266771,5.744495
"19",0.595009,1.149893,0.232141524553299,0.31911513209343,0.232141524553299,0.31911513209343,29.550831,15.47655,32.873226,2.953903,28.407707,5.954672,28.427915,5.775127
