,BO21_chlomean_ss,BO21_chlorange_ss,BO21_curvelmean_ss,BO21_curvelrange_ss,BO21_curvelmean_bdmin,BO21_curvelrange_bdmin,BO21_salinitymean_ss,BO21_salinityrange_ss,BO21_salinitymean_bdmin,BO21_salinityrange_bdmin,BO21_tempmean_ss,BO21_temprange_ss,BO21_tempmean_bdmin,BO21_temprange_bdmin
1,0.167044,0.432687,0.085195407,0.138583332,0.080202371,0.133623257,33.235387,2.670085,32.733841,1.920492,25.255077,13.75544,25.495374,13.521548
2,0.26014,0.662051,0.093208395,0.119764939,0.093208395,0.119764939,31.964953,4.762269,33.25581,2.149944,29.029545,2.762028,29.021077,2.966955
3,0.1183,0.048674,0.201140746,0.260349482,0.201140746,0.260349482,31.043193,4.236377,33.909229,0.810143,29.11204,2.390001,29.066835,2.626027
4,0.124055,0.521194,0.080246121,0.090931647,0.0622578,0.090690933,33.205534,2.694408,32.81554,1.867571,25.461988,13.172361,25.571042,13.171562
5,0.723854,2.355228,0.168574408,0.243057936,0.165808573,0.243191287,33.741365,3.691711,33.794605,2.188847,19.622728,15.992711,20.202494,15.747832
6,0.646869,2.190821,0.176159412,0.260724515,0.171943009,0.248681799,33.715112,3.218661,33.891842,2.236317,20.245171,14.975032,20.776726,14.592674
7,0.673536,2.187326,0.148631573,0.337315977,0.148631573,0.337315977,33.840784,3.540381,33.762985,2.371117,19.912548,15.619573,20.304463,15.598941
8,0.570646,1.292543,0.122254491,0.19846034,0.118588731,0.197264731,33.997063,2.27282,33.946644,1.732906,19.828175,13.34,20.615076,14.225072
9,0.593678,0.906696,0.069019303,0.119175792,0.056274317,0.096682683,33.864134,2.422113,33.83007,1.998592,19.527842,15.819075,20.237309,15.068479
10,0.636733,2.087903,0.15780203,0.229220495,0.153030708,0.221388474,33.824272,3.148777,33.835781,2.308716,19.856192,15.403139,20.462715,15.261487
11,0.586518,1.181095,0.147474706,0.213069096,0.137354746,0.194514215,34.000095,2.291226,33.998524,1.682102,18.97611,15.41396,19.9693,15.150116
12,0.093055,0.127896,0.123680718,0.156914636,0.131205574,0.166097671,32.533473,2.387219,33.562527,1.12405,28.900139,3.497347,28.833796,4.213031
13,0.294127,1.04467,0.191617131,0.29960677,0.209292874,0.325168341,33.151984,3.891591,33.947643,0.661457,25.809706,8.54981,26.0337,9.581952
14,0.146965,0.112924,0.093547091,0.128644362,0.099732541,0.12924166,30.921927,4.739959,33.909611,0.863529,29.465416,2.045963,29.182224,2.529756
15,0.349208,0.789176,0.158462912,0.200878426,0.158462912,0.200878426,33.241879,2.200815,32.176979,2.962626,25.360764,12.657562,25.609435,13.130447
16,0.69972,1.209989,0.148949251,0.18448402,0.159877196,0.199052826,33.217482,1.972568,32.12286,3.102411,25.697332,11.867867,25.905457,12.520556
17,0.443275,0.946154,0.136233643,0.193308339,0.120692156,0.173762634,32.766502,6.114741,33.782547,0.92519,25.065994,12.946964,25.180279,12.091459
