Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.72853E-11,0.000000002,0.000000003,1,0,0
2.76267E-11,0.000000004,0.000000006,0.999900349,0,0
8.24912E-11,0.000000013,0.000000017,0.999800698,0,0
1.54752E-10,0.000000039,0.000000031,0.999601395,0,0
2.57836E-10,0.00000011,0.000000052,0.999302441,0,0
3.10357E-10,0.000000255,0.000000062,0.998804185,0,0
6.72549E-10,0.000001018,0.000000135,0.997110115,0,0
9.3804E-10,0.000002557,0.000000188,0.995316393,0,0
2.16306E-9,0.000010017,0.000000434,0.990533134,0,0
4.09379E-9,0.000025344,0.000000822,0.985450922,0,0
6.65426E-9,0.000050618,0.000001336,0.980966617,0,0
9.76843E-9,0.000100201,0.000001962,0.974987544,0,0
1.5211E-8,0.000250716,0.000003055,0.963129048,0,0
2.00964E-8,0.000501124,0.000004036,0.949078226,0,0
2.74865E-8,0.001000657,0.00000552,0.928350772,0,0
4.38705E-8,0.002501305,0.00000881,0.886696562,0,0
6.15115E-8,0.005003015,0.000012352,0.839262581,0,0
8.56968E-8,0.01000268,0.000017209,0.772097658,0,0
1.30976E-7,0.025001105,0.000026301,0.633582461,0,0
2.21636E-7,0.050006646,0.000044506,0.48649726,0,0
6.1235E-7,0.100017489,0.00012296,0.344294968,0,0
1.95816E-6,0.200126381,0.000393146,0.258594918,0,0
3.64608E-6,0.300032894,0.000731913,0.222222222,0,0
5.07715E-6,0.400329498,0.001019038,0.199601395,0,0
6.33382E-6,0.500589147,0.001271105,0.181963129,0,0
7.83191E-6,0.600420269,0.001571514,0.167713004,0,0
9.59203E-6,0.70023947,0.001924351,0.156253114,0,0
1.04801E-5,0.750437759,0.00210233,0.151270553,0,0
1.11945E-5,0.80060795,0.002245475,0.146686597,0,0
1.25787E-5,0.900854419,0.002522779,0.138315894,0,0
1.4244E-5,1.000429069,0.002856302,0.130941704,0,0
1.57786E-5,1.101293768,0.003163541,0.124265072,0,0
1.75151E-5,1.20117901,0.003511092,0.118285999,0,0
1.90156E-5,1.300125416,0.003811304,0.112904833,0,0
2.07665E-5,1.401673076,0.004161492,0.107822621,0,0
2.29165E-5,1.502163345,0.00459136,0.103238665,0,0
2.91957E-5,1.750872674,0.00584573,0.093572496,0,0
3.60144E-5,2.001362772,0.007206077,0.085799701,0,0
4.26379E-5,2.250983482,0.0085257,0.079521674,0,0
4.75103E-5,2.50298807,0.009495316,0.073941206,0,0
5.24996E-5,2.751575624,0.01048722,0.068958645,0,0
5.76011E-5,3.003268826,0.011500411,0.064374689,0,0
6.45224E-5,3.253945418,0.012873359,0.060288989,0,0
7.14465E-5,3.50413338,0.014244948,0.056601893,0,0
7.82207E-5,3.757068652,0.015585018,0.053213752,0,0
8.64244E-5,4.004069289,0.017205411,0.050224215,0,0
9.29102E-5,4.255251851,0.018484608,0.047433981,0,0
1.05065E-4,4.501284206,0.020877488,0.044942701,0,0
1.17751E-4,4.755057088,0.023368565,0.042650722,0,0
1.29571E-4,5.004080952,0.025683922,0.040657698,0,0
1.39713E-4,5.261683764,0.027666337,0.038764325,0,0
1.61151E-4,5.515963844,0.031843198,0.037070254,0,0
1.77378E-4,5.752941188,0.034992898,0.035675137,0,0
1.95763E-4,6.015429651,0.03854904,0.03428002,0,0
2.10556E-4,6.261120436,0.041401036,0.033084205,0,0
2.36696E-4,6.505195531,0.046419691,0.031988042,0,0
2.60205E-4,6.757135033,0.050910872,0.03099153,0,0
2.80271E-4,7.027251367,0.054727571,0.029995017,0,0
3.00223E-4,7.263325303,0.058507376,0.029197808,0,0
3.14236E-4,7.511342923,0.06115299,0.028400598,0,0
3.24597E-4,7.767193924,0.063104231,0.027603388,0,0
