Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.09408E-12,0.000000001,0,0.997609324,0,0
1.70285E-12,0.000000003,0,0.996513597,0,0
3.94971E-12,0.00000001,0.000000001,0.993724475,0,0
6.15146E-12,0.000000025,0.000000001,0.990736129,0,0
1.30298E-11,0.000000101,0.000000003,0.982866819,0,0
2.04337E-11,0.000000252,0.000000004,0.97370256,0,0
6.62932E-11,0.000001002,0.000000014,0.953182588,0,0
1.33189E-10,0.000002502,0.000000027,0.937443969,0,0
7.0967E-10,0.000010037,0.000000145,0.91582827,0,0
1.43053E-9,0.000025041,0.000000292,0.901085766,0,0
2.51409E-9,0.000050011,0.000000513,0.888136269,0,0
4.22523E-9,0.00010028,0.000000863,0.873194541,0,0
7.55464E-9,0.000250527,0.000001542,0.847893216,0,0
1.19606E-8,0.000500856,0.000002442,0.821795,0,0
1.97794E-8,0.001001319,0.000004038,0.790317761,0,0
3.86978E-8,0.002502921,0.000007901,0.737324435,0,0
6.31332E-8,0.005000282,0.00001289,0.688215958,0,0
9.97867E-8,0.010008381,0.000020373,0.626456818,0,0
1.98811E-7,0.025002619,0.00004059,0.522063951,0,0
3.72822E-7,0.050029439,0.000076115,0.431716306,0,0
6.8339E-7,0.100038483,0.000139516,0.332901683,0,0
1.70634E-6,0.200046407,0.000348317,0.241059867,0,0
3.35201E-6,0.300070081,0.000684134,0.20051798,0,0
5.04237E-6,0.400033805,0.001028953,0.176411993,0,0
6.9177E-6,0.50046709,0.001411365,0.159478036,0,0
8.80595E-6,0.600723078,0.001796263,0.146727762,0,0
1.06798E-5,0.700311994,0.002178074,0.136567387,0,0
1.15591E-5,0.750354386,0.002357204,0.132084869,0,0
1.28018E-5,0.801138618,0.002610285,0.127901185,0,0
1.57978E-5,0.900428256,0.003220179,0.120928379,0,0
1.8469E-5,1.000586357,0.003763639,0.115150911,0,0
1.98969E-5,1.100244836,0.004054031,0.109971113,0,0
2.18685E-5,1.201770726,0.004454866,0.105090148,0,0
2.4193E-5,1.300942592,0.00492722,0.100806853,0,0
2.61829E-5,1.401854524,0.005331405,0.096822393,0,0
2.82895E-5,1.500054741,0.005759119,0.093236378,0,0
3.45265E-5,1.750452478,0.007024369,0.085167845,0,0
4.08969E-5,2.003603308,0.008315012,0.078394262,0,0
4.70182E-5,2.253757984,0.009553597,0.072716406,0,0
5.53095E-5,2.50498019,0.011228822,0.067835442,0,0
6.03247E-5,2.753631615,0.012240741,0.063552147,0,0
6.72828E-5,3.002494402,0.01364295,0.059667298,0,0
7.1719E-5,3.251750984,0.014535918,0.056081283,0,0
7.80567E-5,3.506535054,0.01581023,0.052694491,0,0
8.48701E-5,3.750864328,0.017178357,0.049706146,0,0
9.46622E-5,4.003293244,0.019141256,0.046917024,0,0
1.05185E-4,4.252745021,0.02124638,0.044426736,0,0
1.18015E-4,4.509765313,0.023806682,0.042135671,0,0
1.31659E-4,4.758395371,0.026522175,0.040143441,0,0
1.4213E-4,5.004144649,0.028601142,0.038350433,0,0
1.56526E-4,5.257220088,0.031452185,0.036657038,0,0
1.67776E-4,5.501028874,0.033674236,0.035162865,0,0
1.82277E-4,5.765290757,0.036530799,0.033668692,0,0
1.99452E-4,6.012115805,0.039903498,0.032373742,0,0
