Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.45797E-13,0.000000001,0,0.998005385,0,0
1.31997E-12,0.000000003,0,0.996708886,0,0
2.78143E-12,0.00000001,0.000000001,0.992919118,0,0
4.84146E-12,0.000000025,0.000000002,0.988929889,0,0
1.16376E-11,0.000000101,0.000000004,0.979654932,0,0
2.01268E-11,0.000000251,0.000000007,0.970280243,0,0
4.80063E-11,0.000001001,0.000000016,0.947741099,0,0
9.1785E-11,0.000002502,0.00000003,0.925301685,0,0
2.51033E-10,0.000010017,0.000000083,0.878627705,0,0
5.40192E-10,0.000025038,0.000000179,0.838835145,0,0
9.10395E-10,0.000050064,0.000000302,0.804228583,0,0
1.61446E-9,0.000100044,0.000000536,0.763737908,0,0
3.53715E-9,0.00025034,0.000001175,0.702403511,0,0
6.49115E-9,0.000500356,0.000002156,0.651042186,0,0
1.17161E-8,0.001001031,0.000003892,0.595093248,0,0
2.80861E-8,0.002501608,0.00000933,0.515009474,0,0
5.89716E-8,0.005001403,0.00001959,0.454273462,0,0
1.30945E-7,0.010007207,0.0000435,0.397626409,0,0
3.62407E-7,0.0250327,0.000120386,0.332103321,0,0
8.36453E-7,0.05005885,0.000277835,0.287822878,0,0
1.87234E-6,0.100126259,0.000621805,0.24832951,0,0
4.46547E-6,0.200046387,0.00148235,0.213922409,0,0
7.40269E-6,0.300419028,0.002456185,0.197067917,0,0
1.01791E-5,0.400992494,0.003375827,0.185698614,0,0
1.25237E-5,0.500235118,0.004151792,0.17692231,0,0
1.48055E-5,0.600309593,0.004906367,0.169641967,0,0
1.7251E-5,0.700455436,0.005714473,0.163458662,0,0
1.82116E-5,0.750289266,0.006031695,0.160666201,0,0
1.91473E-5,0.800900689,0.006340616,0.157973472,0,0
2.10223E-5,0.901870403,0.00695936,0.152986935,0,0
2.3058E-5,1.000825257,0.007630695,0.148499053,0,0
2.46823E-5,1.100978284,0.008166057,0.144310362,0,0
2.60108E-5,1.202148714,0.008603667,0.140321133,0,0
2.76652E-5,1.301437075,0.00914839,0.136631096,0,0
2.89054E-5,1.400822056,0.009556553,0.133140521,0,0
3.08963E-5,1.502114079,0.010211384,0.129749676,0,0
3.41667E-5,1.750440257,0.011286151,0.122170141,0,0
3.74892E-5,2.001969605,0.012376851,0.11518899,0,0
4.02445E-5,2.25181544,0.013280426,0.108806223,0,0
4.28358E-5,2.500813879,0.014129464,0.10282238,0,0
4.67281E-5,2.751158647,0.015403407,0.097237459,0,0
5.05467E-5,3.004179567,0.016651618,0.092051461,0,0
5.49965E-5,3.252149323,0.018104176,0.087364117,0,0
5.95711E-5,3.500008922,0.019595258,0.083075696,0,0
6.48175E-5,3.756050946,0.021302488,0.078986736,0,0
7.08873E-5,4.006274654,0.023273953,0.075296699,0,0
7.68635E-5,4.257029942,0.025211126,0.071905854,0,0
8.28727E-5,4.504934528,0.027155154,0.068814202,0,0
8.79954E-5,4.751870416,0.028809317,0.065922011,0,0
9.35025E-5,5.006753197,0.030584474,0.06312955,0,0
1.01318E-4,5.258751744,0.033098017,0.060536551,0,0
1.0942E-4,5.500406404,0.035697088,0.058242745,0,0.125
1.20764E-4,5.750360783,0.039324093,0.056048669,0,0.125
1.31898E-4,6.003470227,0.042871001,0.054054054,0,0.125
1.42104E-4,6.261075485,0.04611051,0.05215917,0,0.125
1.5464E-4,6.512348628,0.050074776,0.050463748,0,0.125
1.64867E-4,6.753885233,0.053296557,0.048967787,0,0.125
1.75755E-4,7.007230847,0.056714646,0.047471826,0,0.125
1.90153E-4,7.266238582,0.061215779,0.046075596,0,0.125
2.03758E-4,7.520149526,0.065449111,0.044779096,0,0.125
2.15244E-4,7.769569503,0.069008401,0.043582328,0,0.125
2.25266E-4,8.012635311,0.072102781,0.04248529,0,0.125
2.34777E-4,8.267658004,0.075030017,0.041388252,0,0.125
2.49794E-4,8.510999895,0.079632929,0.040390944,0,0.125
2.7461E-4,8.772779786,0.087189171,0.039393637,0,0.125
2.83478E-4,9.023631856,0.089874391,0.038496061,0,0.125
3.06692E-4,9.259466261,0.096865917,0.037698215,0,0.125
3.241E-4,9.513316263,0.102073712,0.036900369,0,0.125
3.40915E-4,9.779352844,0.107075541,0.036102523,0,0.125
3.59411E-4,10.028367064,0.1125454,0.035404408,0,0.125
3.80473E-4,10.25254393,0.118733197,0.034806024,0,0.125
3.9826E-4,10.524467758,0.123925102,0.034107909,0,0.125
4.17163E-4,10.770241149,0.129409194,0.033509524,0,0.125
4.28967E-4,11.025147673,0.132816633,0.03291114,0,0.125
4.50334E-4,11.290126953,0.138950298,0.032312756,0,0.125
4.62176E-4,11.519820699,0.142330938,0.031814102,0,0.125
4.90428E-4,11.76120673,0.150342904,0.031315448,0,0.125
5.11456E-4,12.012115951,0.156257484,0.030816795,0,0.125
5.19148E-4,12.269715224,0.15841065,0.030318141,0,0.125
5.3452E-4,12.533562568,0.162697415,0.029819487,0,0.125
5.51788E-4,12.752027585,0.167486903,0.029420564,0,0.125
5.60533E-4,13.030804763,0.169901921,0.028921911,0,0.125
5.68653E-4,13.256998447,0.172138062,0.028522988,0,0.125
5.88487E-4,13.547662147,0.177575026,0.028024334,0,0.125
6.00166E-4,13.786150832,0.180759667,0.027625411,0,0.125
6.11722E-4,14.029463308,0.183898472,0.027226488,0,0.125
6.32757E-4,14.278389806,0.189581653,0.026827566,0,0.125
6.38515E-4,14.53344812,0.191130408,0.026428643,0,0.125
6.55768E-4,14.79378337,0.195753116,0.02602972,0.037037037,0.125
6.7188E-4,15.059998307,0.200046279,0.025630797,0.037037037,0.125
6.80262E-4,15.26333008,0.202270639,0.025331605,0.037037037,0.125
6.86227E-4,15.536657762,0.203849828,0.024932682,0.037037037,0.125
7.06534E-4,15.81550092,0.20920264,0.024533759,0.037037037,0.125
7.44291E-4,16.033716833,0.219059839,0.024234567,0.037037037,0.125
7.57986E-4,16.260326377,0.22260474,0.023935374,0.037037037,0.125
7.81337E-4,16.570986979,0.22861172,0.023536452,0.037037037,0.125
7.92574E-4,16.806610431,0.231485965,0.023237259,0.037037037,0.125
8.01541E-4,17.045742155,0.233771856,0.022938067,0.037037037,0.125
8.09095E-4,17.288083815,0.235692278,0.022638875,0.037037037,0.125
8.36877E-4,17.537240685,0.242713756,0.022339683,0.037037037,0.125
8.59058E-4,17.793975185,0.248273518,0.022040491,0.037037037,0.125
8.77521E-4,18.05688793,0.252870192,0.021741298,0.037037037,0.125
8.96538E-4,18.322548077,0.25757529,0.021442106,0.037037037,0.125
9.21097E-4,18.504506602,0.263607658,0.021242645,0.037037037,0.125
9.37442E-4,18.785262752,0.267595394,0.020943453,0.037037037,0.125
9.45987E-4,19.068877378,0.269671541,0.02064426,0.037037037,0.125
9.71072E-4,19.2626086,0.275732412,0.020444799,0.037037037,0.125
9.96646E-4,19.557802406,0.281859634,0.020145607,0.037037037,0.125
1.01789E-3,19.75945535,0.286909192,0.019946145,0.037037037,0.125
1.08695E-3,20.082593876,0.30308426,0.019646953,0.037037037,0.125
1.09116E-3,20.30082417,0.304058361,0.019447492,0.037037037,0.125
1.1008E-3,20.520483353,0.306281658,0.01924803,0.037037037,0.125
1.12122E-3,20.854935965,0.310971474,0.018948838,0.037037037,0.125
1.13062E-3,21.081040849,0.313120693,0.018749377,0.037037037,0.125
1.13423E-3,21.307551878,0.313944642,0.018549915,0.037037037,0.125
1.1523E-3,21.536549618,0.318049087,0.018350454,0.037037037,0.125
1.18689E-3,21.773869994,0.32584067,0.018150992,0.037037037,0.125
1.24389E-3,22.021917481,0.338487032,0.017951531,0.037037037,0.25
1.25257E-3,22.272176064,0.340391248,0.017752069,0.037037037,0.25
1.26629E-3,22.524923002,0.343392143,0.017552608,0.037037037,0.25
1.2804E-3,22.780682646,0.346462053,0.017353147,0.037037037,0.25
1.28774E-3,23.037673463,0.348054254,0.017153685,0.037037037,0.25
1.33798E-3,23.301026652,0.358844485,0.016954224,0.037037037,0.25
1.38302E-3,23.573859496,0.368366876,0.016754762,0.037037037,0.25
1.41245E-3,23.853585207,0.37451031,0.016555301,0.037037037,0.25
1.46195E-3,24.143023952,0.384713318,0.016355839,0.037037037,0.25
1.47047E-3,24.290071042,0.38645198,0.016256109,0.037037037,0.25
1.48767E-3,24.586181644,0.389946735,0.016056647,0.037037037,0.25
1.50631E-3,24.886343011,0.393713284,0.015857186,0.037037037,0.25
1.50933E-3,25.03727564,0.39432072,0.015757455,0.037037037,0.25
1.5212E-3,25.340816635,0.396704363,0.015557993,0.037037037,0.25
1.54324E-3,25.648541199,0.401105957,0.015358532,0.037037037,0.25
1.54594E-3,25.803135346,0.401643407,0.015258801,0.037037037,0.25
1.54978E-3,26.112711556,0.402405643,0.01505934,0.037037037,0.25
1.5792E-3,26.270631581,0.408218087,0.014959609,0.037037037,0.25
1.58833E-3,26.587583664,0.410010523,0.014760148,0.037037037,0.25
1.61126E-3,26.908576397,0.414487726,0.014560686,0.037037037,0.25
1.62885E-3,27.071461313,0.417898639,0.014460955,0.037037037,0.25
1.64158E-3,27.399142441,0.420355777,0.014261494,0.037037037,0.25
1.64679E-3,27.563821461,0.421357698,0.014161763,0.037037037,0.25
1.67609E-3,27.897802649,0.426962434,0.013962302,0.037037037,0.25
1.68259E-3,28.066061995,0.428199298,0.013862571,0.037037037,0.25
1.71033E-3,28.407489618,0.433442952,0.01366311,0.037037037,0.25
1.71559E-3,28.579048124,0.434431988,0.013563379,0.037037037,0.25
1.71653E-3,28.750700819,0.434608926,0.013463648,0.037037037,0.25
1.77211E-3,29.102060806,0.444952561,0.013264187,0.037037037,0.25
1.77626E-3,29.279686454,0.445717076,0.013164456,0.037037037,0.25
1.89996E-3,29.653260178,0.468034368,0.012964995,0.037037037,0.25
1.91521E-3,29.844780932,0.470721314,0.012865264,0.037037037,0.25
1.92244E-3,30.037025419,0.471992314,0.012765533,0.074074074,0.25
1.94009E-3,30.423898573,0.475078197,0.012566072,0.074074074,0.25
1.94452E-3,30.618350205,0.475849631,0.012466341,0.074074074,0.25
1.94846E-3,30.813196047,0.476535599,0.01236661,0.074074074,0.25
1.95656E-3,31.00885238,0.477943124,0.012266879,0.074074074,0.25
1.98999E-3,31.404800494,0.483707385,0.012067418,0.074074074,0.25
2.02527E-3,31.607327849,0.489724534,0.011967687,0.074074074,0.25
2.04529E-3,31.811857151,0.493106888,0.011867957,0.074074074,0.25
2.05097E-3,32.016954369,0.494062311,0.011768226,0.074074074,0.25
2.09649E-3,32.435927487,0.501654859,0.011568764,0.074074074,0.25
2.19387E-3,32.655314124,0.517518079,0.011469034,0.111111111,0.25
2.19762E-3,32.875076411,0.518119804,0.011369303,0.111111111,0.25
2.25322E-3,33.100398541,0.526938459,0.011269572,0.111111111,0.25
2.26593E-3,33.326991085,0.528930746,0.011169841,0.111111111,0.25
2.28647E-3,33.555637612,0.532134108,0.011070111,0.111111111,0.25
2.28938E-3,33.784575491,0.532586728,0.01097038,0.111111111,0.25
2.33151E-3,34.017726366,0.539082964,0.010870649,0.111111111,0.25
2.33267E-3,34.25099335,0.539260713,0.010770919,0.111111111,0.25
2.41322E-3,34.728223427,0.551426744,0.010571457,0.148148148,0.25
2.43995E-3,34.972218904,0.555392518,0.010471726,0.148148148,0.25
2.48144E-3,35.22036305,0.561478091,0.010371996,0.148148148,0.25
2.5123E-3,35.471592713,0.565950079,0.010272265,0.148148148,0.25
2.55232E-3,35.726824489,0.571682663,0.010172534,0.148148148,0.25
